time,ip,country,iframes,screenshot
"12/08/2026, 8:46:47 am","unknown","DE",0,"cycle1-DE-2026-08-12T03-46-18.png"
"12/08/2026, 8:48:14 am","unknown","US",1,"cycle1-US-2026-08-12T03-47-33.png"
"12/08/2026, 8:48:43 am","unknown","GB",0,"cycle1-GB-2026-08-12T03-48-15.png"
"12/08/2026, 8:49:16 am","121.169.46.116","KR",1,"cycle1-KR-2026-08-12T03-48-46.png"
"12/08/2026, 8:52:11 am","unknown","NL",0,"cycle1-NL-2026-08-12T03-51-39.png"
"12/08/2026, 8:52:41 am","unknown","CA",1,"cycle1-CA-2026-08-12T03-52-12.png"
"12/08/2026, 8:55:38 am","unknown","NL",0,"cycle1-NL-2026-08-12T03-55-09.png"
"12/08/2026, 8:57:10 am","unknown","ES",0,"cycle1-ES-2026-08-12T03-56-43.png"
"12/08/2026, 8:57:40 am","66.163.119.55","US",1,"cycle1-US-2026-08-12T03-57-12.png"
"12/08/2026, 9:00:31 am","unknown","FR",0,"cycle1-FR-2026-08-12T04-00-02.png"
"12/08/2026, 9:06:20 am","unknown","DE",0,"cycle2-DE-2026-08-12T04-05-36.png"
"12/08/2026, 9:09:11 am","unknown","GB",0,"cycle2-GB-2026-08-12T04-08-43.png"
"12/08/2026, 9:09:39 am","unknown","NL",0,"cycle2-NL-2026-08-12T04-09-12.png"
"12/08/2026, 9:12:11 am","unknown","DE",0,"cycle3-DE-2026-08-12T04-11-27.png"
"12/08/2026, 9:12:41 am","unknown","IN",0,"cycle2-IN-2026-08-12T04-12-12.png"
"12/08/2026, 9:12:44 am","unknown","IT",0,"cycle3-IT-2026-08-12T04-12-13.png"
"12/08/2026, 9:13:10 am","121.169.46.116","KR",1,"cycle2-KR-2026-08-12T04-12-43.png"
"12/08/2026, 9:13:15 am","51.178.49.241","FR",1,"cycle3-FR-2026-08-12T04-12-46.png"
"12/08/2026, 9:13:41 am","unknown","BR",0,"cycle2-BR-2026-08-12T04-13-13.png"
"12/08/2026, 9:14:08 am","unknown","DE",0,"cycle3-DE-2026-08-12T04-13-17.png"
"12/08/2026, 9:14:10 am","unknown","NL",0,"cycle2-NL-2026-08-12T04-13-43.png"
"12/08/2026, 9:14:39 am","unknown","GB",0,"cycle3-GB-2026-08-12T04-14-10.png"
"12/08/2026, 9:15:08 am","unknown","TR",0,"cycle3-TR-2026-08-12T04-14-40.png"
"12/08/2026, 9:15:40 am","unknown","NL",0,"cycle3-NL-2026-08-12T04-15-10.png"
"12/08/2026, 9:16:07 am","unknown","FR",0,"cycle4-FR-2026-08-12T04-15-34.png"
"12/08/2026, 9:16:46 am","unknown","US",0,"cycle4-US-2026-08-12T04-16-08.png"
"12/08/2026, 9:17:18 am","unknown","GB",0,"cycle4-GB-2026-08-12T04-16-48.png"
"12/08/2026, 9:18:33 am","144.24.111.128","GB",1,"cycle3-GB-2026-08-12T04-18-05.png"
"12/08/2026, 9:19:05 am","unknown","FR",0,"cycle3-FR-2026-08-12T04-18-35.png"
"12/08/2026, 9:19:37 am","unknown","IN",0,"cycle3-IN-2026-08-12T04-19-06.png"
"12/08/2026, 9:20:06 am","unknown","IN",0,"cycle3-IN-2026-08-12T04-19-38.png"
"12/08/2026, 9:20:41 am","69.55.49.177","US",1,"cycle2-US-2026-08-12T04-20-12.png"
"12/08/2026, 9:21:02 am","unknown","NL",1,"cycle5-NL-2026-08-12T04-20-34.png"
"12/08/2026, 9:21:47 am","193.25.215.182","DE",0,"cycle5-DE-2026-08-12T04-21-04.png"
"12/08/2026, 9:22:32 am","193.42.96.69","DE",0,"cycle5-DE-2026-08-12T04-21-50.png"
"12/08/2026, 9:23:09 am","unknown","KR",1,"cycle5-KR-2026-08-12T04-22-36.png"
"12/08/2026, 9:23:47 am","unknown","KR",0,"cycle2-KR-2026-08-12T04-23-13.png"
"12/08/2026, 9:25:08 am","unknown","IT",0,"cycle5-IT-2026-08-12T04-24-31.png"
"12/08/2026, 9:25:29 am","unknown","CA",0,"cycle4-CA-2026-08-12T04-24-56.png"
"12/08/2026, 9:25:45 am","unknown","JP",0,"cycle5-JP-2026-08-12T04-25-10.png"
"12/08/2026, 9:26:07 am","unknown","US",0,"cycle4-US-2026-08-12T04-25-32.png"
"12/08/2026, 9:26:37 am","unknown","DE",0,"cycle6-DE-2026-08-12T04-25-55.png"
"12/08/2026, 9:27:23 am","unknown","ES",0,"cycle6-ES-2026-08-12T04-26-39.png"
"12/08/2026, 9:28:34 am","unknown","ES",0,"cycle4-ES-2026-08-12T04-26-09.png"
"12/08/2026, 9:29:10 am","unknown","NL",0,"cycle4-NL-2026-08-12T04-28-37.png"
"12/08/2026, 9:29:34 am","unknown","CA",0,"cycle6-CA-2026-08-12T04-28-47.png"
"12/08/2026, 9:31:29 am","unknown","DE",0,"cycle7-DE-2026-08-12T04-30-44.png"
"12/08/2026, 9:31:39 am","unknown","JP",0,"cycle4-JP-2026-08-12T04-29-12.png"
"12/08/2026, 9:32:09 am","121.169.46.116","KR",1,"cycle4-KR-2026-08-12T04-31-41.png"
"12/08/2026, 9:32:30 am","unknown","DE",0,"cycle6-DE-2026-08-12T04-31-57.png"
"12/08/2026, 9:32:40 am","51.178.49.241","FR",1,"cycle4-FR-2026-08-12T04-32-12.png"
"12/08/2026, 9:33:01 am","51.178.49.241","FR",1,"cycle6-FR-2026-08-12T04-32-32.png"
"12/08/2026, 9:33:17 am","unknown","NL",0,"cycle4-NL-2026-08-12T04-32-42.png"
"12/08/2026, 9:33:34 am","unknown","FR",0,"cycle6-FR-2026-08-12T04-33-04.png"
"12/08/2026, 9:34:02 am","88.218.196.229","ES",1,"cycle6-ES-2026-08-12T04-33-36.png"
"12/08/2026, 9:34:07 am","unknown","NL",0,"cycle5-NL-2026-08-12T04-33-36.png"
"12/08/2026, 9:35:32 am","unknown","US",0,"cycle5-US-2026-08-12T04-34-51.png"
"12/08/2026, 9:35:52 am","unknown","BR",0,"cycle7-BR-2026-08-12T04-35-23.png"
"12/08/2026, 9:36:08 am","unknown","BR",0,"cycle5-BR-2026-08-12T04-35-35.png"
